"","pathway","Sample","Value","sex","timepoint","Cage.Litter","Cohort","Diet","Treatment","legend"
"146","ARG+POLYAMINE-SYN","x314w10",0.975392948508759,"M","w10",114,3,"HFHS","FOS+GOS","HFHS FOS+GOS"
"147","ARG+POLYAMINE-SYN","x314w5",1.78886828661608,"M","w5",114,3,"HFHS","FOS+GOS","HFHS FOS+GOS"
"148","ARG+POLYAMINE-SYN","x315w10",0.674238718110718,"M","w10",114,3,"HFHS","FOS+GOS","HFHS FOS+GOS"
"149","ARG+POLYAMINE-SYN","x315w5",0.866620882463338,"M","w5",114,3,"HFHS","FOS+GOS","HFHS FOS+GOS"
"150","ARG+POLYAMINE-SYN","x401w10",0.289863402969594,"F","w10",129,4,"Control","Vehicle","Control Vehicle"
"151","ARG+POLYAMINE-SYN","x401w5",1.77740610628961,"F","w5",129,4,"Control","Vehicle","Control Vehicle"
"152","ARG+POLYAMINE-SYN","x402w10",-0.0972555029699844,"F","w10",129,4,"Control","Vehicle","Control Vehicle"
"153","ARG+POLYAMINE-SYN","x402w5",1.6023258862688,"F","w5",129,4,"Control","Vehicle","Control Vehicle"
"154","ARG+POLYAMINE-SYN","x405w10",1.18950841860148,"M","w10",129,4,"Control","Vehicle","Control Vehicle"
"155","ARG+POLYAMINE-SYN","x405w5",1.3255464932766,"M","w5",129,4,"Control","Vehicle","Control Vehicle"
"156","ARG+POLYAMINE-SYN","x407w10",0.380751790043438,"M","w10",129,4,"Control","Vehicle","Control Vehicle"
"157","ARG+POLYAMINE-SYN","x407w5",1.52028574476532,"M","w5",129,4,"Control","Vehicle","Control Vehicle"
"158","ARG+POLYAMINE-SYN","x408w10",1.56082181176947,"F","w10",113,4,"Control","Vehicle","Control Vehicle"
"159","ARG+POLYAMINE-SYN","x408w5",2.18264695049296,"F","w5",113,4,"Control","Vehicle","Control Vehicle"
"160","ARG+POLYAMINE-SYN","x409w10",2.2151414230603,"F","w10",113,4,"Control","Vehicle","Control Vehicle"
"161","ARG+POLYAMINE-SYN","x409w5",1.82098586558073,"F","w5",113,4,"Control","Vehicle","Control Vehicle"
"162","ARG+POLYAMINE-SYN","x412w10",1.87274154736071,"M","w10",113,4,"Control","Vehicle","Control Vehicle"
"163","ARG+POLYAMINE-SYN","x412w5",1.2191387804048,"M","w5",113,4,"Control","Vehicle","Control Vehicle"
"164","ARG+POLYAMINE-SYN","x413w10",0.744225660582058,"M","w10",113,4,"Control","Vehicle","Control Vehicle"
"165","ARG+POLYAMINE-SYN","x413w5",1.49060668602417,"M","w5",113,4,"Control","Vehicle","Control Vehicle"
"166","ARG+POLYAMINE-SYN","x419w10",1.98032334418208,"F","w10",126,4,"HFHS","Vehicle","HFHS Vehicle"
"167","ARG+POLYAMINE-SYN","x419w5",2.23773733975118,"F","w5",126,4,"HFHS","Vehicle","HFHS Vehicle"
"168","ARG+POLYAMINE-SYN","x420w10",2.03872836816862,"F","w10",126,4,"HFHS","Vehicle","HFHS Vehicle"
"169","ARG+POLYAMINE-SYN","x420w5",0.98400424134783,"F","w5",126,4,"HFHS","Vehicle","HFHS Vehicle"
"170","ARG+POLYAMINE-SYN","x421w10",1.20270910871633,"F","w10",126,4,"HFHS","Vehicle","HFHS Vehicle"
"171","ARG+POLYAMINE-SYN","x421w5",2.55761199210713,"F","w5",126,4,"HFHS","Vehicle","HFHS Vehicle"
"172","ARG+POLYAMINE-SYN","x422w10",-0.59332273422859,"M","w10",126,4,"HFHS","Vehicle","HFHS Vehicle"
"173","ARG+POLYAMINE-SYN","x423w10",-0.0663625295844836,"M","w10",126,4,"HFHS","Vehicle","HFHS Vehicle"
"174","ARG+POLYAMINE-SYN","x423w5",1.3649017775789,"M","w5",126,4,"HFHS","Vehicle","HFHS Vehicle"
"175","ARG+POLYAMINE-SYN","x435w10",1.52624405113644,"F","w10",116,4,"HFHS","1472","HFHS B. longum APC1472"
"176","ARG+POLYAMINE-SYN","x435w5",0.877464423640746,"F","w5",116,4,"HFHS","1472","HFHS B. longum APC1472"
"177","ARG+POLYAMINE-SYN","x436w10",2.20736389837206,"F","w10",116,4,"HFHS","1472","HFHS B. longum APC1472"
"178","ARG+POLYAMINE-SYN","x436w5",0.528543106858322,"F","w5",116,4,"HFHS","1472","HFHS B. longum APC1472"
"179","ARG+POLYAMINE-SYN","x438w10",-0.059828429902911,"M","w10",116,4,"HFHS","1472","HFHS B. longum APC1472"
"180","ARG+POLYAMINE-SYN","x438w5",1.01399937784173,"M","w5",116,4,"HFHS","1472","HFHS B. longum APC1472"
"181","ARG+POLYAMINE-SYN","x439w10",0.541654630166003,"M","w10",116,4,"HFHS","1472","HFHS B. longum APC1472"
"182","ARG+POLYAMINE-SYN","x439w5",1.92170164693128,"M","w5",116,4,"HFHS","1472","HFHS B. longum APC1472"
"183","ARG+POLYAMINE-SYN","x501w10",1.03339415554101,"F","w10",130,5,"HFHS","1472","HFHS B. longum APC1472"
"184","ARG+POLYAMINE-SYN","x501w5",2.15275362628831,"F","w5",130,5,"HFHS","1472","HFHS B. longum APC1472"
"185","ARG+POLYAMINE-SYN","x503w10",0.290988283783515,"F","w10",130,5,"HFHS","1472","HFHS B. longum APC1472"
"186","ARG+POLYAMINE-SYN","x503w5",1.45170934568943,"F","w5",130,5,"HFHS","1472","HFHS B. longum APC1472"
