symbol,sex,statistic_diet,p.adj_diet
Esd,F,1.925208902,0.1
Esr1,F,1.868628486,0.103
Esrrb,F,-1.694716292,0.127
Esyt2,F,1.823396888,0.12
Etf1,F,1.463362734,0.194
Etfa,F,1.384045366,0.196
Etnppl,F,1.548100086,0.172
Etv4,F,-1.785771058,0.109
Eva1b,F,-1.766699806,0.111
Eva1c,F,-1.409041792,0.192
Evi5,F,1.816157805,0.127
Exoc4,F,1.704070274,0.121
Exoc5,F,1.632072663,0.158
Exoc6,F,1.533894422,0.164
Exosc4,F,-1.646858197,0.136
Exosc5,F,-1.799927333,0.112
Exosc7,F,1.920090447,0.104
Exosc9,F,1.410164037,0.199
Ext1,F,1.793989162,0.105
Extl2,F,1.549569712,0.178
Ezh2,F,1.471431403,0.177
F8a,F,1.775421621,0.107
Faf1,F,1.718615032,0.129
Fahd1,F,1.646184062,0.131
Fahd2a,F,1.577297349,0.152
Faim,F,1.792364253,0.122
Fam110d,F,-1.823649608,0.116
Fam117a,F,-1.726919811,0.123
Fam124a,F,-1.440939693,0.192
Fam135a,F,1.527172216,0.182
Fam163a,F,1.684929677,0.136
Fam171a1,F,1.42052964,0.195
Fam172a,F,1.433040091,0.199
Fam174a,F,1.672907353,0.146
Fam181a,F,-1.546116556,0.165
Fam20b,F,1.538184396,0.17
Fam217b,F,1.491935722,0.19
Fam222a,F,-1.54853642,0.159
Fam241b,F,1.845316288,0.112
Fam3c,F,1.532773613,0.175
Fam76b,F,1.538396243,0.171
Fam8a1,F,1.823059739,0.121
Fam98a,F,1.507002931,0.189
Fan1,F,1.808098705,0.101
Fancb,F,1.858917938,0.113
Fancl,F,1.731133395,0.129
Fancm,F,1.488059737,0.182
Far1,F,1.72898162,0.138
Fastkd1,F,1.866710909,0.112
Fat1,F,1.609975113,0.142
Fat3,F,1.770845433,0.107
Fat4,F,1.378793808,0.199
Fbxl2,F,1.533899917,0.181
Fbxl4,F,1.579367398,0.151
Fbxl8,F,-1.628136924,0.138
Fbxo11,F,1.962762345,0.104
Fbxo15,F,1.437303718,0.196
Fbxo25,F,1.398399376,0.193
Fbxo28,F,1.431358191,0.193
Fbxo33,F,1.637025866,0.156
Fbxo45,F,1.794108267,0.118
Fbxo8,F,1.609478922,0.162
Fbxw11,F,1.617788541,0.154
