"","legend","sex","name","n","G","U","grubbs","p_grubbs"
"155","Control Vehicle","M","Lepr_puncta_double_Lepr_Ghsr_cells",11,1.7,0.683,"highest value 26.05 is an outlier",0.392
"156","HFHS 1472","F","double_Lepr_Ghsr_cells",10,1.64,0.668,"highest value 180 is an outlier",0.407
"157","HFHS Vehicle","M","Lepr_puncta_double_Lepr_Pomc_cells",11,1.68,0.688,"highest value 22.79 is an outlier",0.408
"158","Control Vehicle","M","Lepr_puncta_double_Lepr_Pomc_cells",11,1.68,0.689,"highest value 27.9 is an outlier",0.41
"159","Control Vehicle","M","double_Lepr_Ghsr_cells",11,1.68,0.689,"lowest value 26 is an outlier",0.411
"160","Control Vehicle","M","Ghsr_puncta_double_Ghsr_Pomc_cells",11,1.68,0.689,"lowest value 9.56 is an outlier",0.412
"161","HFHS FOS+GOS","F","Ghsr_puncta_double_Lepr_Ghsr_cells",10,1.63,0.67,"highest value 48.45 is an outlier",0.413
"162","Control Vehicle","M","Pomc_puncta_double_Lepr_Pomc_cells",11,1.68,0.691,"highest value 51.54 is an outlier",0.416
"163","HFHS 1472","M","Posit_Lepr_cells",13,1.76,0.722,"highest value 156 is an outlier",0.416
"164","HFHS Vehicle","M","ARC_cells",11,1.67,0.692,"lowest value 369 is an outlier",0.419
"165","HFHS FOS+GOS","M","Pomc_puncta_double_Lepr_Pomc_cells",12,1.72,0.708,"highest value 59.62 is an outlier",0.419
"166","HFHS 1472","M","ARC_cells",13,1.75,0.723,"highest value 671 is an outlier",0.419
"167","HFHS Vehicle","F","ARC_cells",14,1.78,0.737,"highest value 553 is an outlier",0.423
"168","HFHS Vehicle","F","double_Lepr_Pomc_cells_among_Pomc_posit_cells",14,1.78,0.737,"lowest value 9.090909091 is an outlier",0.424
"169","HFHS 1472","F","Ghsr_puncta_triple_cells",10,1.62,0.675,"highest value 50.45 is an outlier",0.426
"170","HFHS 1472","M","Pomc_aver_puncta",13,1.74,0.725,"highest value 53.98 is an outlier",0.429
"171","HFHS FOS+GOS","F","Ghsr_aver_puncta",10,1.62,0.677,"highest value 31.26 is an outlier",0.433
"172","HFHS FOS+GOS","M","double_Lepr_Ghsr_cells_among_Lepr_posit_cells",12,1.7,0.713,"lowest value 46.42857143 is an outlier",0.436
"173","HFHS FOS+GOS","F","triple_posit_cells_among_Lepr_cells",10,1.61,0.679,"highest value 25.27472527 is an outlier",0.439
"174","HFHS Vehicle","M","triple_posit_cells_among_Pomc_cells",11,1.66,0.698,"highest value 36.76470588 is an outlier",0.44
"175","Control Vehicle","F","double_Ghsr_Pomc_cells_among_Pomc_posit_cells",13,1.73,0.731,"highest value 80.95238095 is an outlier",0.449
"176","HFHS 1472","M","Lepr_aver_puncta",13,1.73,0.731,"highest value 25 is an outlier",0.45
"177","HFHS Vehicle","M","double_Lepr_Pomc_cells_among_Lepr_posit_cells",11,1.64,0.702,"lowest value 8.196721311 is an outlier",0.454
"178","Control Vehicle","F","ARC_cells",13,1.72,0.734,"highest value 669 is an outlier",0.461
"179","HFHS 1472","F","Ghsr_aver_puncta",10,1.59,0.688,"highest value 31.02 is an outlier",0.465
"180","HFHS FOS+GOS","F","double_Lepr_Ghsr_cells",10,1.58,0.692,"lowest value 22 is an outlier",0.48
"181","HFHS FOS+GOS","F","Posit_Lepr_cells",10,1.57,0.694,"lowest value 29 is an outlier",0.487
"182","HFHS Vehicle","M","Pomc_aver_puncta",11,1.62,0.712,"lowest value 14.35 is an outlier",0.489
"183","HFHS Vehicle","M","Ghsr_puncta_double_Ghsr_Pomc_cells",11,1.61,0.714,"lowest value 6.36 is an outlier",0.494
"184","HFHS Vehicle","M","double_Lepr_Ghsr_cells_among_Lepr_posit_cells",11,1.61,0.714,"lowest value 40 is an outlier",0.497
"185","HFHS FOS+GOS","F","double_Lepr_Pomc_cells_among_Lepr_posit_cells",10,1.57,0.697,"lowest value 3.225806452 is an outlier",0.497
"186","Control Vehicle","M","triple_posit_cells_among_Ghsr_cells",11,1.61,0.716,"lowest value 6.722689076 is an outlier",0.501
"187","HFHS Vehicle","M","Ghsr_puncta_triple_cells",11,1.6,0.717,"lowest value 7.54 is an outlier",0.508
"188","HFHS FOS+GOS","F","Lepr_puncta_triple_cells",10,1.55,0.702,"highest value 47.31 is an outlier",0.513
"189","HFHS FOS+GOS","F","double_Lepr_Pomc_cells_among_Pomc_posit_cells",10,1.55,0.705,"lowest value 3.703703704 is an outlier",0.523
"190","HFHS 1472","F","Ghsr_puncta_double_Lepr_Ghsr_cells",10,1.54,0.706,"highest value 42.39 is an outlier",0.526
"191","HFHS FOS+GOS","F","Pomc_puncta_double_Ghsr_Pomc_cells",10,1.54,0.706,"highest value 45.68 is an outlier",0.528
