Name,Cage/Litter,Cohort,Sex,Diet,Treatment,Age,food_intake,energy_intake
HFHS_1472_C5_L130_F,130,5,F,HFHS,1472,27,1.2,5.54
HFHS_1472_C5_L130_M,130,5,M,HFHS,1472,27,2.28,10.5
CT_CT_C1_L105_F,105,1,F,Control,Vehicle,28,1.4,5.1
CT_CT_C1_L105_M,105,1,M,Control,Vehicle,28,1.36,4.9
CT_CT_C1_L104_F,104,1,F,Control,Vehicle,28,1.5,5.4
CT_CT_C1_L104_M,104,1,M,Control,Vehicle,28,1.03,3.8
CT_CT_C2_L117_F,117,2,F,Control,Vehicle,28,0.75,2.7
CT_CT_C2_L117_M,117,2,M,Control,Vehicle,28,1.83,6.7
CT_CT_C2_L122_F,122,2,F,Control,Vehicle,28,2.1,7.6
CT_CT_C4_L129_F,129,4,F,Control,Vehicle,28,2.3,8.3
CT_CT_C4_L129_M,129,4,M,Control,Vehicle,28,1.85,6.7
CT_CT_C4_L113_F,113,4,F,Control,Vehicle,28,1.67,6.1
CT_CT_C4_L113_M,113,4,M,Control,Vehicle,28,1.94,7
HFHS_CT_C1_L110_M,110,1,M,HFHS,Vehicle,28,5.24,24.1826
HFHS_CT_C1_L107_M,107,1,M,HFHS,Vehicle,28,1.5,6.92
HFHS_CT_C2_L121_F,121,2,F,HFHS,Vehicle,28,2,9.23
HFHS_CT_C2_L123_F,123,2,F,HFHS,Vehicle,28,2,9.23
HFHS_CT_C2_L123_M,123,2,M,HFHS,Vehicle,28,2.48,11.42
HFHS_CT_C2_L121_M,121,2,M,HFHS,Vehicle,28,3,13.85
HFHS_CT_C3_L125.1_F,125.1,3,F,HFHS,Vehicle,28,2.1,9.69
HFHS_CT_C3_L125.2_F,125.2,3,F,HFHS,Vehicle,28,3.1,14.31
HFHS_CT_C3_L125_M,125,3,M,HFHS,Vehicle,28,3,13.85
HFHS_CT_C4_L126_F,126,4,F,HFHS,Vehicle,28,2.37,10.92
HFHS_CT_C4_L126_F,126,4,M,HFHS,Vehicle,28,2.4,11.08
HFHS_FOS+GOS_C1_L106_F,106,1,F,HFHS,FOS+GOS,28,2.2,10.15
HFHS_FOS+GOS_C1_L106_M,106,1,M,HFHS,FOS+GOS,28,3.33,15.38
HFHS_FOS+GOS_C2_L124_F,124,2,F,HFHS,FOS+GOS,28,3.67,16.92
HFHS_FOS+GOS_C2_L124_M,124,2,M,HFHS,FOS+GOS,28,2.45,11.31
HFHS_FOS+GOS_C2_L119_F,119,2,F,HFHS,FOS+GOS,28,1.53,7.04
HFHS_FOS+GOS_C2_L119_M,119,2,M,HFHS,FOS+GOS,28,2.75,12.69
HFHS_FOS+GOS_C2_L128_F,128,2,F,HFHS,FOS+GOS,28,2.2,10.15
HFHS_FOS+GOS_C2_L128_M,128,2,M,HFHS,FOS+GOS,28,2.48,11.45
HFHS_FOS+GOS_C3_L114_F,114,3,F,HFHS,FOS+GOS,28,3.1,14.31
HFHS_FOS+GOS_C3_L114_M,114,3,M,HFHS,FOS+GOS,28,4,18.46
HFHS_1472_C1_L115_F,115,1,F,HFHS,1472,28,1.7,7.85
HFHS_1472_C1_L115_M,115,1,M,HFHS,1472,28,1.5,6.92
HFHS_1472_C1_L111_F,111,1,F,HFHS,1472,28,2.4,11.08
HFHS_1472_C1_L111_M,111,1,M,HFHS,1472,28,4.2,19.38
HFHS_1472_C2_L120_F,120,2,F,HFHS,1472,28,1.75,8.08
HFHS_1472_C2_L127_F,127,2,F,HFHS,1472,28,1.85,8.54
HFHS_1472_C2_L127_M,127,2,M,HFHS,1472,28,3,13.85
HFHS_1472_C4_L116_F,116,4,F,HFHS,1472,28,2.77,12.77
HFHS_1472_C4_L116_M,116,4,M,HFHS,1472,28,3.7,17.08
HFHS_1472_C5_L130_F,130,5,F,HFHS,1472,28,1.95,9
HFHS_1472_C5_L130_M,130,5,M,HFHS,1472,28,2.28,10.5
CT_CT_C1_L105_F,105,1,F,Control,Vehicle,29,1.85,6.7
CT_CT_C1_L105_M,105,1,M,Control,Vehicle,29,0.54,2
CT_CT_C1_L104_F,104,1,F,Control,Vehicle,29,1.63,5.9
CT_CT_C1_L104_M,104,1,M,Control,Vehicle,29,2.37,8.6
CT_CT_C2_L117_F,117,2,F,Control,Vehicle,29,1.75,6.4
CT_CT_C2_L117_M,117,2,M,Control,Vehicle,29,2.27,8.2
CT_CT_C2_L122_F,122,2,F,Control,Vehicle,29,2.73,9.9
