symbol,sex,statistic_diet,p.adj_diet,statistic_treatment_FOSGOS,p.adj_treatment_FOSGOS,statistic_treatment_1472,p.adj_treatment_1472,restoration_FOSGOS,restoration_1472
2700062C07Rik,F,0.502666295,0.633,2.145925555,0.12,2.774668074,0.06,not restored,not restored
2700062C07Rik,M,0.039376183,0.97,-0.957574178,1,-0.045781211,1,not restored,not restored
2700097O09Rik,F,1.623001695,0.151,0.643509967,1,1.36818589,0.612,not restored,not restored
2700097O09Rik,M,-1.413171798,0.204,0.613064476,1,-0.388993607,1,not restored,not restored
2700099C18Rik,F,0.870975701,0.406,0.7375924,0.812,1.78189669,0.324,not restored,not restored
2700099C18Rik,M,-1.61818907,0.14,0.688618597,1,-0.161371269,1,not restored,not restored
2810004N23Rik,F,0.718342676,0.496,0.38253443,1,1.32451896,0.669,not restored,not restored
2810004N23Rik,M,-0.00858405,0.993,-1.098413174,0.62,0.030540564,0.976,not restored,not restored
2810021J22Rik,F,1.086490537,0.305,-0.189958918,1,-0.194046994,1,not restored,not restored
2810021J22Rik,M,-1.906693731,0.106,-0.132883015,1,-0.498480948,1,not restored,not restored
2810025M15Rik,F,-0.049422081,0.962,-1.150325046,0.879,-0.150767376,0.972,not restored,not restored
2810025M15Rik,M,1.051620563,0.332,-0.794917319,0.73,0.951844367,0.73,not restored,not restored
2810408A11Rik,F,-1.373247531,0.227,-0.993302236,0.694,-1.670258588,0.438,not restored,not restored
2810408A11Rik,M,0.891075855,0.408,0.679179694,1,0.602530728,1,not restored,not restored
2810459M11Rik,F,-0.158303665,0.877,0.096122068,1,0.269163229,1,not restored,not restored
2810459M11Rik,M,-0.848696989,0.416,0.619533499,1,-0.041435771,1,not restored,not restored
2900026A02Rik,F,0.505593351,0.634,1.01379458,1,0.545658979,1,not restored,not restored
2900026A02Rik,M,0.384222291,0.71,0.049649335,0.961,1.167572816,0.669,not restored,not restored
3110009E18Rik,F,-2.271892911,0.046,1.514763329,0.546,0.564185375,1,not restored,not restored
3110009E18Rik,M,-2.145000651,0.058,0.735547822,1,0.453208604,1,not restored,not restored
3110040N11Rik,F,0.506217181,0.626,0.180189988,1,0.371513542,1,not restored,not restored
3110040N11Rik,M,0.321916896,0.755,0.797423767,1,0.724729347,1,not restored,not restored
3110082I17Rik,F,-1.474731574,0.183,-0.146308361,0.887,1.971983331,0.189,not restored,not restored
3110082I17Rik,M,1.199403956,0.276,-0.729855953,1,0.452193583,1,not restored,not restored
3110082J24Rik,F,0.19501346,0.849,0.929459782,0.75,1.399404028,0.582,not restored,not restored
3110082J24Rik,M,-0.188569878,0.856,-0.286573104,1,0.150156986,1,not restored,not restored
3300002I08Rik,F,1.315588615,0.218,-0.504242992,1,0.231162037,1,not restored,not restored
3300002I08Rik,M,-4.066409545,0.003,1.029861234,0.666,-0.314093517,0.76,not restored,not restored
4632415L05Rik,F,-1.460662883,0.18,-0.551401654,1,-0.966515669,1,not restored,not restored
4632415L05Rik,M,1.178800569,0.291,0.21318761,1,0.465227213,1,not restored,not restored
4833420G17Rik,F,1.274446139,0.249,0.729271556,1,0.56203758,1,not restored,not restored
4833420G17Rik,M,0.088983823,0.932,0.445482262,0.87,-0.817161236,0.87,not restored,not restored
4833439L19Rik,F,0.817506052,0.441,0.239319313,1,0.177192576,1,not restored,not restored
4833439L19Rik,M,0.198498059,0.847,-0.669516519,1,-0.393359618,1,not restored,not restored
4921507P07Rik,F,1.06039666,0.315,0.174664769,1,0.457250439,1,not restored,not restored
4921507P07Rik,M,-1.488481318,0.169,0.713001459,0.984,-0.674015496,0.984,not restored,not restored
4921524J17Rik,F,1.202492495,0.265,-1.683547484,0.369,-1.39689384,0.394,not restored,not restored
4921524J17Rik,M,-1.155971389,0.289,-0.266499472,1,-0.393725165,1,not restored,not restored
4921536K21Rik,F,-2.830512643,0.018,1.563955875,0.298,2.190025716,0.161,not restored,not restored
4921536K21Rik,M,-0.801226371,0.443,0.041359115,1,0.653191697,1,not restored,not restored
4930431P19Rik,F,0.429299075,0.677,-0.239461147,0.816,1.204016787,0.516,not restored,not restored
4930431P19Rik,M,-0.220672236,0.831,0.578980944,1,1.116344261,0.897,not restored,not restored
4930444P10Rik,F,0.249080508,0.809,0.710497934,1,0.616501871,1,not restored,not restored
4930444P10Rik,M,-0.222943754,0.829,1.4872169,0.534,0.652211838,1,not restored,not restored
4930447C04Rik,F,1.875687148,0.108,0.647866953,1,-0.644270644,1,not restored,not restored
4930447C04Rik,M,-0.794940586,0.46,0.418714587,1,-0.607651775,1,not restored,not restored
4930453N24Rik,F,0.415895118,0.687,1.532180573,0.332,0.25612856,0.805,not restored,not restored
4930453N24Rik,M,-0.193089332,0.853,-1.192756048,0.813,-0.891910734,0.813,not restored,not restored
4930469K13Rik,F,0.830386538,0.426,-0.84389422,1,0.0556531,1,not restored,not restored
4930469K13Rik,M,-0.379034303,0.715,-0.377910138,0.999,-0.936251869,0.999,not restored,not restored
4930503L19Rik,F,1.41352257,0.205,0.896676066,1,0.00617183,1,not restored,not restored
4930503L19Rik,M,-0.892473959,0.405,0.009782797,0.992,-0.911478045,0.879,not restored,not restored
