Name,Cage/Litter,Mouse_ID,Cohort,Sex,Diet,Treatment,Age,bw,bw_gain
HFHS_FOS+GOS_C3_L114_P314_M,114,314,3,M,HFHS,FOS+GOS,PND7,4.6,3.1
HFHS_FOS+GOS_C3_L114_P315_M,114,315,3,M,HFHS,FOS+GOS,PND7,4.7,3.1
HFHS_1472_C1_L115_P128_F,115,128,1,F,HFHS,1472,PND7,2,0.6
HFHS_1472_C1_L115_P130_F,115,130,1,F,HFHS,1472,PND7,1.8,0.6
HFHS_1472_C1_L115_P131_F,115,131,1,F,HFHS,1472,PND7,1.7,0.5
HFHS_1472_C1_L115_P132_M,115,132,1,M,HFHS,1472,PND7,1.9,0.7
HFHS_1472_C1_L115_P133_M,115,133,1,M,HFHS,1472,PND7,2.2,0.8
HFHS_1472_C1_L111_P134_F,111,134,1,F,HFHS,1472,PND7,2.6,1.2
HFHS_1472_C1_L111_P135_F,111,135,1,F,HFHS,1472,PND7,2.7,1.6
HFHS_1472_C1_L111_P136_M,111,136,1,M,HFHS,1472,PND7,2.9,1.8
HFHS_1472_C1_L111_P137_M,111,137,1,M,HFHS,1472,PND7,3.2,1.8
HFHS_1472_C2_L120_P245_F,120,245,2,F,HFHS,1472,PND7,2.4,1.2
HFHS_1472_C2_L120_P246_F,120,246,2,F,HFHS,1472,PND7,2.6,1.2
HFHS_1472_C2_L127_P247_F,127,247,2,F,HFHS,1472,PND7,3.9,2.4
HFHS_1472_C2_L127_P248_F,127,248,2,F,HFHS,1472,PND7,3.6,2.5
HFHS_1472_C2_L127_P250_M,127,250,2,M,HFHS,1472,PND7,4,2.7
HFHS_1472_C2_L127_P251_M,127,251,2,M,HFHS,1472,PND7,4.3,2.9
HFHS_1472_C2_L127_P252_M,127,252,2,M,HFHS,1472,PND7,4.6,3.3
HFHS_1472_C4_L116_P435_F,116,435,4,F,HFHS,1472,PND7,4,2.6
HFHS_1472_C4_L116_P436_F,116,436,4,F,HFHS,1472,PND7,3.1,1.6
HFHS_1472_C4_L116_P438_M,116,438,4,M,HFHS,1472,PND7,3.6,2.1
HFHS_1472_C4_L116_P439_M,116,439,4,M,HFHS,1472,PND7,4.2,2.8
