Name,Cage/Litter,Mouse_ID,Cohort,Sex,Diet,Treatment,Age,bw,bw_gain
HFHS_CT_C2_L123_P213_F,123,213,2,F,HFHS,Vehicle,PND14,6.2,4.8
HFHS_CT_C2_L123_P216_M,123,216,2,M,HFHS,Vehicle,PND14,7,5.6
HFHS_CT_C2_L123_P217_M,123,217,2,M,HFHS,Vehicle,PND14,4.1,2.8
HFHS_CT_C2_L123_P218_F,123,218,2,F,HFHS,Vehicle,PND14,8.7,7
HFHS_CT_C2_L121_P219_M,121,219,2,M,HFHS,Vehicle,PND14,8.2,6.7
HFHS_CT_C2_L121_P221_M,121,221,2,M,HFHS,Vehicle,PND14,8.5,7
HFHS_CT_C3_L125.1_P302_F,125.1,302,3,F,HFHS,Vehicle,PND14,6.1,4.6
HFHS_CT_C3_L125.2_P303_F,125.2,303,3,F,HFHS,Vehicle,PND14,6.2,4.8
HFHS_CT_C3_L125.2_P304_F,125.2,304,3,F,HFHS,Vehicle,PND14,5.9,4.6
HFHS_CT_C3_L125.1_P305_F,125.1,305,3,F,HFHS,Vehicle,PND14,5.9,4.6
HFHS_CT_C3_L125.2_P306_F,125.2,306,3,F,HFHS,Vehicle,PND14,6.7,5.4
HFHS_CT_C3_L125_P308_M,125,308,3,M,HFHS,Vehicle,PND14,6.2,4.8
HFHS_CT_C3_L125_P310_M,125,310,3,M,HFHS,Vehicle,PND14,6.1,4.8
HFHS_CT_C4_L126_P419_F,126,419,4,F,HFHS,Vehicle,PND14,7.3,6
HFHS_CT_C4_L126_P420_F,126,420,4,F,HFHS,Vehicle,PND14,7.2,6
HFHS_CT_C4_L126_P421_F,126,421,4,F,HFHS,Vehicle,PND14,7.1,5.8
HFHS_CT_C4_L126_P422_M,126,422,4,M,HFHS,Vehicle,PND14,7.2,5.8
HFHS_CT_C4_L126_P423_M,126,423,4,M,HFHS,Vehicle,PND14,7.1,5.8
HFHS_FOS+GOS_C1_L106_P122_F,106,122,1,F,HFHS,FOS+GOS,PND14,6.2,4.7
HFHS_FOS+GOS_C1_L106_P124_F,106,124,1,F,HFHS,FOS+GOS,PND14,7,5.5
HFHS_FOS+GOS_C1_L106_P125_M,106,125,1,M,HFHS,FOS+GOS,PND14,6.9,5.3
HFHS_FOS+GOS_C1_L106_P126_M,106,126,1,M,HFHS,FOS+GOS,PND14,6.9,5.5
HFHS_FOS+GOS_C2_L124_P223_F,124,223,2,F,HFHS,FOS+GOS,PND14,7.2,5.9
HFHS_FOS+GOS_C2_L124_P224_F,124,224,2,F,HFHS,FOS+GOS,PND14,6.9,5.6
HFHS_FOS+GOS_C2_L124_P225_F,124,225,2,F,HFHS,FOS+GOS,PND14,6.7,5.3
HFHS_FOS+GOS_C2_L124_P226_M,124,226,2,M,HFHS,FOS+GOS,PND14,6.6,5.2
HFHS_FOS+GOS_C2_L124_P227_M,124,227,2,M,HFHS,FOS+GOS,PND14,7.4,6.2
HFHS_FOS+GOS_C2_L124_P228_M,124,228,2,M,HFHS,FOS+GOS,PND14,7.1,5.8
HFHS_FOS+GOS_C2_L119_P231_F,119,231,2,F,HFHS,FOS+GOS,PND14,7.6,6.2
HFHS_FOS+GOS_C2_L119_P232_F,119,232,2,F,HFHS,FOS+GOS,PND14,7.1,5.7
HFHS_FOS+GOS_C2_L119_P233_F,119,233,2,F,HFHS,FOS+GOS,PND14,8.6,6.9
HFHS_FOS+GOS_C2_L119_P234_M,119,234,2,M,HFHS,FOS+GOS,PND14,7.7,6.2
HFHS_FOS+GOS_C2_L119_P235_M,119,235,2,M,HFHS,FOS+GOS,PND14,7.9,6.6
HFHS_FOS+GOS_C2_L128_P236_F,128,236,2,F,HFHS,FOS+GOS,PND14,6.4,5.2
HFHS_FOS+GOS_C2_L128_P237_F,128,237,2,F,HFHS,FOS+GOS,PND14,7.1,5.6
HFHS_FOS+GOS_C2_L128_P238_F,128,238,2,F,HFHS,FOS+GOS,PND14,6.8,5.6
HFHS_FOS+GOS_C2_L128_P239_M,128,239,2,M,HFHS,FOS+GOS,PND14,7.1,5.9
HFHS_FOS+GOS_C2_L128_P239_M,128,241,2,M,HFHS,FOS+GOS,PND14,7.3,5.9
HFHS_FOS+GOS_C2_L128_P239_M,128,243,2,M,HFHS,FOS+GOS,PND14,6.8,5.5
HFHS_FOS+GOS_C3_L114_P311_F,114,311,3,F,HFHS,FOS+GOS,PND14,7.9,6.5
HFHS_FOS+GOS_C3_L114_P312_M,114,312,3,M,HFHS,FOS+GOS,PND14,7.8,6.2
HFHS_FOS+GOS_C3_L114_P314_M,114,314,3,M,HFHS,FOS+GOS,PND14,7.8,6.3
HFHS_FOS+GOS_C3_L114_P315_M,114,315,3,M,HFHS,FOS+GOS,PND14,7.7,6.1
HFHS_1472_C1_L115_P128_F,115,128,1,F,HFHS,1472,PND14,3.4,2
HFHS_1472_C1_L115_P130_F,115,130,1,F,HFHS,1472,PND14,4.5,3.3
HFHS_1472_C1_L115_P131_F,115,131,1,F,HFHS,1472,PND14,3.1,1.9
HFHS_1472_C1_L115_P132_M,115,132,1,M,HFHS,1472,PND14,4,2.8
HFHS_1472_C1_L115_P133_M,115,133,1,M,HFHS,1472,PND14,4.5,3.1
HFHS_1472_C1_L111_P134_F,111,134,1,F,HFHS,1472,PND14,6,4.6
HFHS_1472_C1_L111_P135_F,111,135,1,F,HFHS,1472,PND14,5.3,4.2
