"genus","statistic_diet","p.adj_diet","conf.low_diet","conf.high_diet","R2_marginal_diet","R2_conditional_diet","effect_size_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","conf.low_treatment_FOSGOS","conf.high_treatment_FOSGOS","R2_marginal_treatment_FOSGOS","R2_conditional_treatment_FOSGOS","effect_size_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","conf.low_treatment_1472","conf.high_treatment_1472","R2_marginal_treatment_1472","R2_conditional_treatment_1472","effect_size_treatment_1472","restoration_FOSGOS","restoration_1472"
"Lachnospiraceae UCG-004",NA,NA,NA,NA,NA,NA,NA,1.22474487139159,0.709375329617573,-1.16659300700815e-05,4.42798545851532e-05,0.090909090909091,NA,1.22474487139159,1.45410179202269e-16,1,-2.79728923276173e-05,2.79728923276174e-05,0.090909090909091,NA,1.45410179202269e-16,"not restored","not restored"
"Lachnospiraceae UCG-006",1.52729472036618,0.305213313708051,-0.00448048674912499,0.0254868829149115,0.152134975553243,NA,1.52729472036618,-0.138726943011558,0.958627188449811,-0.0199170345798405,0.0174496574669347,0.028555669338945,NA,-0.138726943011558,-0.722427100054515,0.958627188449811,-0.0251078373792913,0.0122588546674839,0.028555669338945,NA,-0.722427100054515,"not restored","not restored"
"Lachnospiraceae UCG-010",-1.02468041252916,0.410736185457797,-7.51281502411436e-05,2.90843108742556e-05,0.0104830680576135,0.881406444210362,-1.02468041252916,0.00634921782675954,1,-0.000115304941892747,0.00011599282766634,0.00380478461603671,NA,0.00634921782675954,0.238390922648053,1,-0.000102140185494655,0.000127850446255212,0.00380478461603671,NA,0.238390922648053,"not restored","not restored"
"Lactobacillus",-3.45259278372449,0.00478205167681016,-0.0417061487524178,-0.00943360501600542,0.478338967216366,NA,-3.45259278372449,2.26820618360652,0.107573096713132,0.00180274187389964,0.0470840226893394,0.251937104699682,NA,2.26820618360652,0.0417568005290734,1,-0.0221906471727281,0.0230906336427117,0.251937104699682,NA,0.0417568005290734,"not restored","not restored"
"Ligilactobacillus",-0.676378769325577,0.514939173570132,-0.12110107802006,0.065012101914827,0.0298713354637703,0.166624000094156,-0.676378769325577,-1.89022787589375,0.154582824303877,-0.089420109849412,0.00518246362175861,0.147956346644835,0.218100300144394,-1.89022787589375,-1.2744430291264,0.221440675733577,-0.0755077968617939,0.0189258942952411,0.147956346644835,0.218100300144394,-1.2744430291264,"not restored","not restored"
"Limosilactobacillus",-3.38018270571217,0.0103904283697961,-0.00899497452035114,-0.00177632688957757,0.418310294986479,0.536060530230338,-3.38018270571217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not restored","not restored"
"Marvinbryantia",1.15581258129505,0.551253684596174,-0.000576274093746746,0.00180520927594324,0.0766226588439462,0.274127139741856,1.15581258129505,0.408445434217727,0.689268832134442,-0.00209053422356103,0.00307138521881201,0.0534291270531481,0.413547852577344,0.408445434217727,1.28880197256348,0.6545962991834,-0.00102325524542533,0.00411016440822633,0.0534291270531481,0.413547852577344,1.28880197256348,"not restored","not restored"
"Merdibacter",NA,NA,NA,NA,NA,NA,NA,0,1,-0.000518363877812706,0.000518363877812706,0.0909090909090909,NA,0,1.22474487139159,0.709375329617214,-0.00021618060365693,0.000820547151968481,0.0909090909090909,NA,1.22474487139159,"not restored","not restored"
"Monoglobus",0.0576152431421928,0.955003386262208,-6.44409327985997e-05,6.7941577938953e-05,0.000255282217605098,NA,0.0576152431421928,-1.22474487139159,0.472916886412786,-6.0658900092864e-05,1.59811384487223e-05,0.0909090909090909,NA,-1.22474487139159,-1.22474487139159,0.472916886412786,-6.06589000928599e-05,1.59811384487183e-05,0.0909090909090909,NA,-1.22474487139159,"not restored","not restored"
"Mucispirillum",1.71131992306536,0.225444634150899,-0.00451355589938772,0.0375584985084935,0.183858779778014,NA,1.71131992306536,-1.97149759263589,0.132945374801399,-0.0330884985160219,0.00121971984516137,0.160422285775005,0.231011068596923,-1.97149759263589,-1.38380678832401,0.186125148960792,-0.0282631813061,0.00597934326519641,0.160422285775005,0.231011068596923,-1.38380678832401,"not restored","not restored"
"Muribaculum",-1.204957193524,0.392203489736796,-0.000228553119421911,7.1123443671383e-05,0.10383236225596,NA,-1.204957193524,2.53810109494604,0.0645997079373283,0.00041136980610576,0.00451573895717919,0.296633794697409,0.317423898528199,2.53810109494604,-0.0103680674666422,1,-0.00206349883561026,0.00204340770397799,0.296633794697409,0.317423898528199,-0.0103680674666422,"not restored","not restored"
"NK4A214 group",1.21605305292194,0.521287512558993,-0.000224241500296439,0.000713607815260183,0.0219112400534317,0.823093133311665,1.21605305292194,-0.35975483725623,0.723699019909177,-0.000812828365098989,0.000576848164240034,0.0759009784769763,0.116506986914218,-0.35975483725623,-1.26805235434328,0.446733424195991,-0.0011098426284415,0.000280110208991624,0.0759009784769763,0.116506986914218,-1.26805235434328,"not restored","not restored"
"Negativibacillus",2.22604303309224,0.104863730087877,-6.4660254305496e-06,0.00100435877176076,0.240705026360138,0.383432177935359,2.22604303309224,-2.13019283959315,0.112774281889379,-0.00100989094433279,-2.23382220075304e-06,0.209502010021273,0.373889680632985,-2.13019283959315,0.13125634274446,0.897212585421396,-0.000470212021323452,0.000532270016963413,0.209502010021273,0.373889680632985,0.13125634274446,"not restored","not restored"
"Odoribacter",-1.5746822385592,0.141312523659296,-0.0167004029569078,0.00268795459343169,0.160186328041043,NA,-1.5746822385592,-2.6420408174756,0.0331301436616059,-0.0179739608791295,-0.00205062700777213,0.274658594989576,NA,-2.6420408174756,-0.654212965003326,0.52124637945272,-0.0104408763649599,0.00548245750639868,0.274658594989576,NA,-0.654212965003326,"not restored","not restored"
"Oscillibacter",4.02155429446905,0.0107449521067498,0.00297279468448444,0.0115865444863759,0.284400108758604,0.787934073149794,4.02155429446905,-2.33146024298249,0.0663953300289686,-0.0175123713037744,-0.000828802853762588,0.275041526262904,0.338415756508023,-2.33146024298249,0.262238015227427,0.796568358983997,-0.00729572776650671,0.0093506902678445,0.275041526262904,0.338415756508023,0.262238015227427,"not restored","not restored"
"Paludicola",0.477025985963787,0.666356647596261,-7.27612207621794e-05,0.000110403755261187,0.00205793315958781,0.892687344113347,0.477025985963787,-1.72106689513911,0.221469532582041,-0.000230484783460946,2.6974419726517e-05,0.149833248676153,NA,-1.72106689513911,-1.45274224650226,0.221469532582041,-0.000213790266667648,4.2840835997589e-05,0.149833248676153,NA,-1.45274224650226,"not restored","not restored"
"Parabacteroides",2.55158079359407,0.0915822182317317,0.000100877732483792,0.00755452704883678,0.279984689824265,0.457755771074418,2.55158079359407,-0.226728498555076,1,-0.00960383337745563,0.00775613466219674,0.010750503891587,0.224316456697959,-0.226728498555076,-0.517683350402591,1,-0.0107329129756628,0.00653468814646422,0.010750503891587,0.224316456697959,-0.517683350402591,"not restored","not restored"
"Parasutterella",1.33114175313828,0.427819467420377,-0.00239722679834375,0.00941152008762439,0.108626292047711,0.215558038145666,1.33114175313828,2.78900092647947,0.0363566630046954,0.00323211848307709,0.0229694744566211,0.321985741584985,NA,2.78900092647947,0.258923992352771,0.798631701076298,-0.00865243223627091,0.0110849237372732,0.321985741584985,NA,0.258923992352771,"not restored","not restored"
"Parvibacter",1,0.674098115908401,-0.000477867214362681,0.00128862733222542,0.0714285714285714,NA,1,1.00397731261392,0.990993433988718,-0.000502265598606833,0.00140603458260545,0.142651861769835,0.280024137030721,1.00397731261392,-0.95996556983342,0.990993433988718,-0.00137974782117321,0.000519820004629091,0.142651861769835,0.280024137030721,-0.95996556983342,"not restored","not restored"
"Peptococcus",2.75096084814003,0.0351419495301002,0.000232702228216576,0.00200502192159642,0.367943625025676,NA,2.75096084814003,-2.92939792513884,0.0193468723103042,-0.002816836134124,-0.000453687958060833,0.35554507699214,0.382902483906665,-2.92939792513884,-0.0108425531852784,0.99148455300526,-0.00118763526770234,0.00117555906380495,0.35554507699214,0.382902483906665,-0.0108425531852784,"restored","not restored"
"Rikenella",-2.34331183658288,0.0371614555817534,-0.00785638823072348,-0.000285787800476339,0.29695947163441,NA,-2.34331183658288,-1.40236123379011,0.362088578196946,-0.00706432830693965,0.00145574338023464,0.252435372365704,0.302091869216542,-1.40236123379011,1.26898484365549,0.362088578196946,-0.00173086719815176,0.00678930769099682,0.252435372365704,0.302091869216542,1.26898484365549,"not restored","not restored"
