"sex","timepoint","Order",".y..x","group1","group2","p","p.adj","p.format","p.signif","method",".y..y","effsize","n1","n2","magnitude"
"Female","week 10","Chlamydiales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.336668367610039,1,"0.33667","ns","Wilcoxon","Abundance",0.208166599946613,12,13,"small"
"Female","week 10","Chlamydiales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.359317338329571,1,"0.35932","ns","Wilcoxon","Abundance",0.204124145231932,12,12,"small"
"Female","week 10","Chlamydiales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.336668367610039,1,"0.33667","ns","Wilcoxon","Abundance",0.208166599946613,12,13,"small"
"Female","week 5","Chlamydiales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.378477593244679,1,"0.37848","ns","Wilcoxon","Abundance",0.192153784566105,12,13,"small"
"Female","week 5","Chlamydiales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.378477593244679,1,"0.37848","ns","Wilcoxon","Abundance",0.192153784566105,12,13,"small"
"Female","week 5","Chlamydiales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.378477593244679,1,"0.37848","ns","Wilcoxon","Abundance",0.192153784566105,12,13,"small"
"Male","week 10","Chlamydiales","Abundance","Control Vehicle","HFHS Vehicle",0.359317338329571,1,"0.35932","ns","Wilcoxon","Abundance",0.204124145231932,12,12,"small"
"Male","week 10","Chlamydiales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.336668367610039,1,"0.33667","ns","Wilcoxon","Abundance",0.208166599946613,12,13,"small"
"Male","week 10","Chlamydiales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.359317338329571,1,"0.35932","ns","Wilcoxon","Abundance",0.204124145231932,12,12,"small"
"Female","week 5","Christensenellales","Abundance","Control Vehicle","HFHS Vehicle",0.000900935596360016,0.41,"0.00090","***","Wilcoxon","Abundance",0.683536555146996,12,12,"large"
"Female","week 5","Christensenellales","Abundance","Control Vehicle","HFHS FOS+GOS",2.90426639685465e-05,0.015,"2.9e-05","****","Wilcoxon","Abundance",0.859464161114686,12,12,"large"
"Female","week 5","Christensenellales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.0114301180144431,1,"0.01143","*","Wilcoxon","Abundance",0.511292595627196,12,13,"large"
"Female","week 5","Christensenellales","Abundance","HFHS Vehicle","HFHS FOS+GOS",2.23371780734926e-05,0.012,"2.2e-05","****","Wilcoxon","Abundance",0.87156929014447,12,12,"large"
"Female","week 5","Christensenellales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.56791511114482,1,"0.56792","ns","Wilcoxon","Abundance",0.119664224508493,12,13,"small"
"Female","week 5","Christensenellales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",8.34099127152994e-05,0.041,"8.3e-05","****","Wilcoxon","Abundance",0.792497596446052,12,13,"large"
"Male","week 10","Christensenellales","Abundance","Control Vehicle","HFHS Vehicle",0.157212753340004,1,"0.15721","ns","Wilcoxon","Abundance",0.294627825494395,12,12,"small"
"Male","week 10","Christensenellales","Abundance","Control Vehicle","HFHS FOS+GOS",0.000152114069893409,0.074,"0.00015","***","Wilcoxon","Abundance",0.762968270716799,12,13,"large"
"Male","week 10","Christensenellales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.312321421676216,1,"0.31232","ns","Wilcoxon","Abundance",0.212132034355964,12,12,"small"
"Male","week 10","Christensenellales","Abundance","HFHS Vehicle","HFHS FOS+GOS",6.18645951097343e-05,0.03,"6.2e-05","****","Wilcoxon","Abundance",0.806566457614901,12,13,"large"
"Male","week 10","Christensenellales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.47048642205879,1,"0.47049","ns","Wilcoxon","Abundance",0.153206469257085,12,12,"small"
"Male","week 10","Christensenellales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",9.75573884844581e-05,0.048,"9.8e-05","****","Wilcoxon","Abundance",0.78476736416585,13,12,"large"
"Female","week 10","Christensenellales","Abundance","Control Vehicle","HFHS Vehicle",0.285476308851882,1,"0.28548","ns","Wilcoxon","Abundance",0.22391714737574,12,12,"small"
"Female","week 10","Christensenellales","Abundance","Control Vehicle","HFHS FOS+GOS",5.57424565802742e-05,0.028,"5.6e-05","****","Wilcoxon","Abundance",0.828568247720491,12,12,"large"
"Female","week 10","Christensenellales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.086643733654737,1,"0.08664","ns","Wilcoxon","Abundance",0.34811410766107,12,13,"moderate"
"Female","week 10","Christensenellales","Abundance","HFHS Vehicle","HFHS FOS+GOS",3.38156067957849e-05,0.017,"3.4e-05","****","Wilcoxon","Abundance",0.85224162622679,12,12,"large"
"Female","week 10","Christensenellales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.00146271658668115,0.65,"0.00146","**","Wilcoxon","Abundance",0.641835386000097,12,13,"large"
"Female","week 10","Christensenellales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.000147687687287673,0.072,"0.00015","***","Wilcoxon","Abundance",0.764445461394487,12,13,"large"
"Male","week 5","Christensenellales","Abundance","Control Vehicle","HFHS Vehicle",0.312321421676216,1,"0.31232","ns","Wilcoxon","Abundance",0.212132034355964,12,12,"small"
"Male","week 5","Christensenellales","Abundance","Control Vehicle","HFHS FOS+GOS",0.00163912229573118,0.73,"0.00164","**","Wilcoxon","Abundance",0.635247008205075,12,13,"large"
"Male","week 5","Christensenellales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.00200950485566001,0.88,"0.00201","**","Wilcoxon","Abundance",0.636396103067893,12,12,"large"
"Male","week 5","Christensenellales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00106865178068976,0.48,"0.00107","**","Wilcoxon","Abundance",0.659858805321875,12,13,"large"
"Male","week 5","Christensenellales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.0120228254076174,1,"0.01202","*","Wilcoxon","Abundance",0.518544972870135,12,12,"large"
"Male","week 5","Christensenellales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",3.55601548298085e-05,0.018,"3.6e-05","****","Wilcoxon","Abundance",0.832392631441132,13,12,"large"
"Female","week 5","Clostridiales","Abundance","Control Vehicle","HFHS Vehicle",0.00491727994842584,1,"0.00492","**","Wilcoxon","Abundance",0.579997773404344,12,12,"large"
"Female","week 5","Clostridiales","Abundance","Control Vehicle","HFHS FOS+GOS",0.501465054313442,1,"0.50147","ns","Wilcoxon","Abundance",0.14317509816446,12,12,"small"
"Female","week 5","Clostridiales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.188743869618405,1,"0.18874","ns","Wilcoxon","Abundance",0.268337098293523,12,13,"small"
"Female","week 5","Clostridiales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00425641979172788,1,"0.00426","**","Wilcoxon","Abundance",0.589383791829924,12,12,"large"
"Female","week 5","Clostridiales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.031672726558415,1,"0.03167","*","Wilcoxon","Abundance",0.435142634576337,12,13,"moderate"
"Female","week 5","Clostridiales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.220657684609437,1,"0.22066","ns","Wilcoxon","Abundance",0.250399704178248,12,13,"small"
"Male","week 10","Clostridiales","Abundance","Control Vehicle","HFHS Vehicle",0.0194921210426381,1,"0.01949","*","Wilcoxon","Abundance",0.484166413439599,12,12,"moderate"
"Male","week 10","Clostridiales","Abundance","Control Vehicle","HFHS FOS+GOS",0.336668367610039,1,"0.33667","ns","Wilcoxon","Abundance",0.208166599946613,12,13,"small"
"Male","week 10","Clostridiales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.112900304782481,1,"0.11290","ns","Wilcoxon","Abundance",0.331893441792665,12,12,"moderate"
"Male","week 10","Clostridiales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00519712366826754,1,"0.00520","**","Wilcoxon","Abundance",0.566169537511053,12,13,"large"
"Male","week 10","Clostridiales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",1,1,"1.00000","ns","Wilcoxon","Abundance",0,12,12,"small"
"Male","week 10","Clostridiales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.0298346371350379,1,"0.02983","*","Wilcoxon","Abundance",0.442974508402391,13,12,"moderate"
"Male","week 5","Clostridiales","Abundance","Control Vehicle","HFHS Vehicle",0.152129732154252,1,"0.15213","ns","Wilcoxon","Abundance",0.298281454509292,12,12,"small"
"Male","week 5","Clostridiales","Abundance","Control Vehicle","HFHS FOS+GOS",0.711730496955881,1,"0.71173","ns","Wilcoxon","Abundance",0.0795917183440543,12,13,"small"
"Male","week 5","Clostridiales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.180855352169694,1,"0.18086","ns","Wilcoxon","Abundance",0.279081744411512,12,12,"small"
"Male","week 5","Clostridiales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0639787857724145,1,"0.06398","ns","Wilcoxon","Abundance",0.375994868810921,12,13,"moderate"
"Male","week 5","Clostridiales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.75062213675182,1,"0.75062","ns","Wilcoxon","Abundance",0.0707722459824028,12,12,"small"
"Male","week 5","Clostridiales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.0654596709783315,1,"0.06546","ns","Wilcoxon","Abundance",0.373919989682396,13,12,"moderate"
"Female","week 10","Clostridiales","Abundance","Control Vehicle","HFHS Vehicle",0.007468887218752,1,"0.00747","**","Wilcoxon","Abundance",0.552648219214124,12,12,"large"
"Female","week 10","Clostridiales","Abundance","Control Vehicle","HFHS FOS+GOS",0.166224591128354,1,"0.16622","ns","Wilcoxon","Abundance",0.294883912309794,12,12,"small"
"Female","week 10","Clostridiales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.0339703845612792,1,"0.03397","*","Wilcoxon","Abundance",0.430414231010558,12,13,"moderate"
"Female","week 10","Clostridiales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00108433256167357,0.49,"0.00108","**","Wilcoxon","Abundance",0.674033372804582,12,12,"large"
"Female","week 10","Clostridiales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.844047236098311,1,"0.84405","ns","Wilcoxon","Abundance",0.044964402635237,12,13,"small"
"Female","week 10","Clostridiales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.0043715097917865,1,"0.00437","**","Wilcoxon","Abundance",0.57687355350336,12,13,"large"
"Male","week 10","Coriobacteriales","Abundance","Control Vehicle","HFHS Vehicle",0.125939785141436,1,"0.12594","ns","Wilcoxon","Abundance",0.318267247588159,12,12,"moderate"
"Male","week 10","Coriobacteriales","Abundance","Control Vehicle","HFHS FOS+GOS",0.288844366346485,1,"0.28884","ns","Wilcoxon","Abundance",0.217571317288169,12,13,"small"
"Male","week 10","Coriobacteriales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.0141379694559115,1,"0.01414","*","Wilcoxon","Abundance",0.506759859850359,12,12,"large"
"Male","week 10","Coriobacteriales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0470644034131402,1,"0.04706","*","Wilcoxon","Abundance",0.402584364498877,12,13,"moderate"
"Male","week 10","Coriobacteriales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.885209130075326,1,"0.88521","ns","Wilcoxon","Abundance",0.0353630275097954,12,12,"small"
