"Family",".y..x","group1","group2","p","p.adj","p.format","p.signif","method",".y..y","effsize","n1","n2","magnitude"
"Enterobacteriaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.593767798161571,1,"0.5938","ns","Wilcoxon","Abundance",0.166311678688194,7,7,"small"
"Enterobacteriaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.200406593222455,1,"0.2004","ns","Wilcoxon","Abundance",0.363587179195637,7,7,"moderate"
"Enterobacteriaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.371603852607153,1,"0.3716","ns","Wilcoxon","Abundance",0.258689967998569,7,7,"small"
"Enterococcaceae","Abundance","Control Vehicle","HFHS Vehicle",1,1,"1.0000","ns","Wilcoxon","Abundance",0.0182335902277282,7,7,"small"
"Enterococcaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.137336880174764,1,"0.1373","ns","Wilcoxon","Abundance",0.416000990152296,7,7,"moderate"
"Enterococcaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",1,1,"1.0000","ns","Wilcoxon","Abundance",0.0182335902277282,7,7,"small"
"Enterococcaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.371603852607153,1,"0.3716","ns","Wilcoxon","Abundance",0.258689967998569,7,7,"small"
"Enterococcaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",1,1,"1.0000","ns","Wilcoxon","Abundance",0.0189091359160134,7,7,"small"
"Enterococcaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.371603852607153,1,"0.3716","ns","Wilcoxon","Abundance",0.258689967998569,7,7,"small"
"Erysipelatoclostridiaceae","Abundance","Control Vehicle","HFHS Vehicle",0.00372197306710855,0.75,"0.0037","**","Wilcoxon","Abundance",0.794183708472564,7,7,"large"
"Erysipelatoclostridiaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.172954917988421,1,"0.1730","ns","Wilcoxon","Abundance",0.392232270276368,7,7,"moderate"
"Erysipelatoclostridiaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.0307212324156618,1,"0.0307","*","Wilcoxon","Abundance",0.598849471616342,7,7,"large"
"Erysipelatoclostridiaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.019945403395459,1,"0.0199","*","Wilcoxon","Abundance",0.639788594821868,7,7,"large"
"Erysipelatoclostridiaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.219661528496224,1,"0.2197","ns","Wilcoxon","Abundance",0.345309580982982,7,7,"moderate"
"Erysipelatoclostridiaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.229063154959125,1,"0.2291","ns","Wilcoxon","Abundance",0.340364446488242,7,7,"moderate"
"Erysipelotrichaceae","Abundance","Control Vehicle","HFHS Vehicle",0.0298420644179543,1,"0.0298","*","Wilcoxon","Abundance",0.597614304667197,7,7,"large"
"Erysipelotrichaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.0298420644179543,1,"0.0298","*","Wilcoxon","Abundance",0.597614304667197,7,7,"large"
